timestamp=
['start: 20260127-224134(+0800)', 'duration: 00:22:45', 'end: 20260127-230419(+0800)']

model config=
name: colVAE
upsample_target_size: (64, 64)
loss_function: 0.0005 * (|mse-110.0|) + 0.4973 * (|kld-0.0|) + 0.0050 * (|dice-0.15|) + 0.4973 * (|ssim-0.09|)
R_config: {'name': '20251116-130523(+0800)_Rref_VGG4layer_weights.pth', 'output_channels': 32, 'num_classes': 8}
z_dim: 512
encoder_input_channels: 4
encoder_output_channels: 256
conditioned_features_channels: 64
z_projected_channels: 64
train_loader: {'name': 'train_loader', 'batch_size': 128, 'wafer_resize_scale': (64, 64), 'test_size': 0.2}
validation_loader: None

-----  Loss:    mse      -----
Epoch | Loss           | Learning Rate
   38 | 0.1768143176 | 0.0001000
   39 | 0.1782682258 | 0.0001000
   40 | 0.1783922047 | 0.0001000
   41 | 0.1776334802 | 0.0001000
   42 | 0.1794302171 | 0.0001000
   43 | 0.1802810678 | 0.0001000
   44 | 0.1799576177 | 0.0001000
   45 | 0.1772071050 | 0.0001000
   46 | 0.1761367180 | 0.0001000
   47 | 0.1713821197 | 0.0001000
   48 | 0.1681399333 | 0.0001000
   49 | 0.1655430198 | 0.0001000
   50 | 0.1632526200 | 0.0001000

-----  Loss:    ssim     -----
Epoch | Loss           | Learning Rate
------------------------------
    1 | 0.3097131876 | 0.0001000
    2 | 0.1844214326 | 0.0001000
    3 | 0.1588852092 | 0.0001000
    4 | 0.1419922552 | 0.0001000
    5 | 0.1292132916 | 0.0001000
    6 | 0.1194976305 | 0.0001000
    7 | 0.1097274936 | 0.0001000
    8 | 0.1013729622 | 0.0001000
    9 | 0.0942028836 | 0.0001000
   10 | 0.0878185592 | 0.0001000
   11 | 0.0817658453 | 0.0001000
   12 | 0.0746463975 | 0.0001000
   13 | 0.0683053484 | 0.0001000
   14 | 0.0630520735 | 0.0001000
   15 | 0.0583886231 | 0.0001000
   16 | 0.0545967422 | 0.0001000
   17 | 0.0510658131 | 0.0001000
   18 | 0.0483887737 | 0.0001000
   19 | 0.0452307430 | 0.0001000
   20 | 0.0427019478 | 0.0001000
   21 | 0.0398693994 | 0.0001000
   22 | 0.0373359115 | 0.0001000
   23 | 0.0349024692 | 0.0001000
   24 | 0.0328400238 | 0.0001000
   25 | 0.0308643364 | 0.0001000
   26 | 0.0290062821 | 0.0001000
   27 | 0.0268546749 | 0.0001000
   28 | 0.0249075499 | 0.0001000
   29 | 0.0227339546 | 0.0001000
   30 | 0.0207223997 | 0.0001000
   31 | 0.0186228867 | 0.0001000
   32 | 0.0167526665 | 0.0001000
   33 | 0.0148326860 | 0.0001000
   34 | 0.0132186480 | 0.0001000
   35 | 0.0121047887 | 0.0001000
   36 | 0.0101075435 | 0.0001000
   37 | 0.0088685716 | 0.0001000
   38 | 0.0076695530 | 0.0001000
   39 | 0.0063045451 | 0.0001000
   40 | 0.0051343013 | 0.0001000
   41 | 0.0041814396 | 0.0001000
   42 | 0.0026816087 | 0.0001000
   43 | 0.0018500869 | 0.0001000
   44 | 0.0014082622 | 0.0001000
   45 | 0.0014771844 | 0.0001000
   46 | 0.0013002866 | 0.0001000
   47 | 0.0017503067 | 0.0001000
   48 | 0.0012813639 | 0.0001000
   49 | 0.0016159986 | 0.0001000
   50 | 0.0018652668 | 0.0001000

