timestamp=
['start: 20260127-235935(+0800)', 'duration: 00:22:32', 'end: 20260128-002208(+0800)']

model config=
name: colVAE
upsample_target_size: (64, 64)
loss_function: [0.0005 * max(0, mse-110.0) + 110.0] + [0.4973 * max(0, kld-0.0) + 0.0] + [0.0050 * max(0, dice-0.15) + 0.15] + [0.4973 * max(0, ssim-0.09) + 0.09]
R_config: {'name': '20251116-130523(+0800)_Rref_VGG4layer_weights.pth', 'output_channels': 32, 'num_classes': 8}
z_dim: 512
encoder_input_channels: 4
encoder_output_channels: 256
conditioned_features_channels: 64
z_projected_channels: 64
train_loader: {'name': 'train_loader', 'batch_size': 128, 'wafer_resize_scale': (64, 64), 'test_size': 0.2}
validation_loader: None

-----  Loss:    mse      -----
Epoch | Loss           | Learning Rate
   37 | 0.3369830620 | 0.0001000
   38 | 0.3385000956 | 0.0001000
   39 | 0.3379624507 | 0.0001000
   40 | 0.3371084769 | 0.0001000
   41 | 0.3352472206 | 0.0001000
   42 | 0.3352079285 | 0.0001000
   43 | 0.3341263872 | 0.0001000
   44 | 0.3306436336 | 0.0001000
   45 | 0.3305892835 | 0.0001000
   46 | 0.3283439475 | 0.0001000
   47 | 0.3285070427 | 0.0001000
   48 | 0.3277139043 | 0.0001000
   49 | 0.3266500082 | 0.0001000
   50 | 0.3253498372 | 0.0001000

-----  Loss:    ssim     -----
Epoch | Loss           | Learning Rate
------------------------------
    1 | 0.3965254759 | 0.0001000
    2 | 0.2805175027 | 0.0001000
    3 | 0.2512031042 | 0.0001000
    4 | 0.2354874373 | 0.0001000
    5 | 0.2228267280 | 0.0001000
    6 | 0.2118862697 | 0.0001000
    7 | 0.2016141324 | 0.0001000
    8 | 0.1926000637 | 0.0001000
    9 | 0.1846255492 | 0.0001000
   10 | 0.1778442186 | 0.0001000
   11 | 0.1714591462 | 0.0001000
   12 | 0.1653537272 | 0.0001000
   13 | 0.1587094489 | 0.0001000
   14 | 0.1528689408 | 0.0001000
   15 | 0.1479181687 | 0.0001000
   16 | 0.1438454818 | 0.0001000
   17 | 0.1399235144 | 0.0001000
   18 | 0.1367162103 | 0.0001000
   19 | 0.1337827041 | 0.0001000
   20 | 0.1310735665 | 0.0001000
   21 | 0.1284768356 | 0.0001000
   22 | 0.1262010055 | 0.0001000
   23 | 0.1237124968 | 0.0001000
   24 | 0.1212171997 | 0.0001000
   25 | 0.1186512541 | 0.0001000
   26 | 0.1159836530 | 0.0001000
   27 | 0.1135602816 | 0.0001000
   28 | 0.1114113043 | 0.0001000
   29 | 0.1087529269 | 0.0001000
   30 | 0.1065517499 | 0.0001000
   31 | 0.1041476904 | 0.0001000
   32 | 0.1016785430 | 0.0001000
   33 | 0.0995595758 | 0.0001000
   34 | 0.0976346418 | 0.0001000
   35 | 0.0956556046 | 0.0001000
   36 | 0.0935338052 | 0.0001000
   37 | 0.0920859079 | 0.0001000
   38 | 0.0910027715 | 0.0001000
   39 | 0.0908506952 | 0.0001000
   40 | 0.0907956798 | 0.0001000
   41 | 0.0904500280 | 0.0001000
   42 | 0.0904574921 | 0.0001000
   43 | 0.0903104176 | 0.0001000
   44 | 0.0901587641 | 0.0001000
   45 | 0.0902685854 | 0.0001000
   46 | 0.0903001296 | 0.0001000
   47 | 0.0903447790 | 0.0001000
   48 | 0.0904227632 | 0.0001000
   49 | 0.0904216690 | 0.0001000
   50 | 0.0903142636 | 0.0001000

